"id";"libellé";"recommandé";"niveau";"wikipedia";"note"
"Q13582798";"EPST";"oui";1;"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique_et_technologique";NA
"Q3244038";"EPCA";"oui";1;"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_administratif_en_France";NA
"Q3591583";"EPIC";"oui";1;"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_industriel_et_commercial_en_France";NA
"Q61612084";"PRES";"oui";2;"https://fr.wikipedia.org/wiki/Regroupement_universitaire";NA
"Q15974764";"COMUE";"oui";2;"https://fr.wikipedia.org/wiki/Communaut%C3%A9_d%27universit%C3%A9s_et_%C3%A9tablissements";NA
"Q77979904";"EPE";"oui";2;"https://fr.wikipedia.org/wiki/Regroupement_universitaire";NA
"Q3412198";"Regroupement universitaire";"oui";2;"https://fr.wikipedia.org/wiki/Regroupement_universitaire";NA
"Q2822246";"Académie";"oui";2;"https://fr.wikipedia.org/wiki/Acad%C3%A9mie_(%C3%A9ducation_en_France)";NA
"Q3551775";"Université (EPSCP)";"oui";3;"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel";NA
"Q1542938";"Grand Établissement";"oui";3;"https://fr.wikipedia.org/wiki/Grand_%C3%A9tablissement";NA
"Q3591586";"EPSCP";"oui";3;"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel";NA
"Q135436";"École normale supérieure";"oui";3;"https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_(France)";NA
"Q3457065";"réseau universitaire";"oui";4;NA;NA
"Q6542557";"consortium de bibliothèques";"oui";4;NA;NA
"Q1059324";"CHU";"oui";4;"https://fr.wikipedia.org/wiki/Centre_hospitalier_universitaire";NA
"Q3152659";"IUT";"oui";4;"https://fr.wikipedia.org/wiki/Institut_universitaire_de_technologie";NA
"Q1475041";"IEP";"oui";4;"https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques";NA
"Q3578562";"ESPÉ";"oui";4;"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_professorat_et_de_l%27%C3%A9ducation";NA
"Q184644";"école supérieure de musique";"oui";4;"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_musique";NA
"Q1143635";"école de commerce";"oui";4;"https://fr.wikipedia.org/wiki/%C3%89cole_de_commerce";NA
"Q383092";"école d'art";"oui";4;"https://fr.wikipedia.org/wiki/%C3%89cole_d%27art";NA
"Q479716";"presse universitaire";"oui";4;NA;NA
"Q3550864";"UMR";"oui";5;"https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_recherche";NA
"Q43371084";"UPR";"oui";5;"https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique";NA
"Q3550863";"UMS";"oui";5;"https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_service";NA
"Q43371093";"FRE";"oui";5;"https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique";NA
"Q109584561";"USC";"oui";5;"https://fr.wikipedia.org/wiki/Laboratoire_de_recherche";NA
"Q3279950";"MSH";"oui";5;https://fr.wikipedia.org/wiki/Maison_des_Sciences_de_l%27Homme;NA
"Q3550804";"UFR";"oui";5;"https://fr.wikipedia.org/wiki/Unit%C3%A9_de_formation_et_de_recherche";NA
"Q13220391";"école doctorale";"oui";5;NA;NA
"Q57314035";"faculté de médecine";"oui";5;NA;NA
"Q856234";"bibliothèque universitaire";"oui";5;NA;NA
"Q180958";"composante";"oui";5;"https://fr.wikipedia.org/wiki/Universit%C3%A9_en_France#Composantes";NA
"Q1254933";"observatoire astronomique";"oui";6;NA;NA
"Q1298668";"projet de recherche";"oui";6;NA;NA
"Q28863779";"équipe de recherche";"oui";6;NA;NA
"Q22806";"bibliothèque nationale";"oui";5;NA;NA
"Q1241025";"équipe de recherche";"oui";6;NA,;NA
"Q10861173";"Système universitaire";"non",1,"https://en.wikipedia.org/wiki/University_system";"Préférer COMUE ou EPE"
"Q65963615";"EPE";"non";2;"https://fr.wikipedia.org/wiki/Regroupement_universitaire";"Préférer Q77979904"
"Q2659904";"organisation gouvernementale";"non";1;NA;"Statut trop imprécis"
"Q327333";"agence publique";"non";1;NA;"Statut trop imprécis"
"Q43229";"organisation";"non";2;NA;"Statut trop imprécis"
"Q15911314";"association";"non";2;NA;"Statut trop imprécis"
"Q15343039";"établissement public";"non";3;NA;"Statut trop imprécis"
"Q270791";"entreprise d'État";"non";3;NA;"Statut trop imprécis"
"Q902104";"université privée";"non";3;NA;"Statut trop imprécis"
"Q1371037";"institut de technologie";"non";3;"https://fr.wikipedia.org/wiki/Institut_de_technologie";"Statut trop imprécis"
"Q16917";"hôpital";"non";3;NA;"Préférer CHU"
"Q2945655";"CH";"non";3;NA;"Préférer CHU"
"Q3918";"université";"non";3;NA;"Statut trop imprécis"
"Q847027";"Grande ecole";"non";3;"https://fr.wikipedia.org/wiki/Grande_%C3%A9cole";"Réserver aux écoles non contemporaines"
"Q875538";"université publique";"non";3;NA;"Statut trop imprécis"
"Q194166";"consortium";"non";4;NA;"Préferer réseau universitaire (Q3457065)"
"Q1663017";"école d'ingé";"non";4;NA;"Statut trop imprécis"
"Q3578166";"École nationale supérieure";"non";4;NA;"Confusion avec les ENS"
"Q2385804";"institution éducative";"non";4;NA;"Statut trop imprécis"
"Q189004";"Collége";"non";4;NA;"Statut trop imprécis"
"Q4287745";"organisation de santé";"non";4;NA;"Statut trop imprécis"
"Q13226383";"site";"non";5;NA;"Statut trop imprécis"
"Q3914";"école";"non";5;NA;"Statut trop imprécis"
"Q483242";"laboratoire";"non";5;NA;"Statut trop imprécis"
"Q31855";"institut de recherche";"non";5;NA;"Statut trop imprécis"
"Q1664720";"institut";"non";5;NA;"Statut trop imprécis"
"Q7315155";"centre de recherche";"non";5;NA;"Statut trop imprécis"
"Q4671277";"institut universitaire";"non";5;NA;"Statut trop imprécis"
"Q38723";"institut d'enseignement supérieur";"non";5;NA;"Statut trop imprécis"
"Q3356144";"ODAC";"non";5;NA;"Statut trop imprécis"
"Q7075";"bibliothèque";"non";5;NA;"préférer BU/biliothèque universitaire (Q856234)"
"Q1622062";"college library";"non";5;NA;"Préférer bibliothèque universitaire (Q856234)"
"NOID";"statut manquant";"non";6;NA;"Absence de propriété P31 (instance_of/nature de l'élément)"
